Data,Hora,Programa,Episódio,Nº do episódio,Media
28/05/2026,03:23,Coração Traído,Capítulo 19,19,96171add-7869-49c5-9e08-0d08393f2c7d
28/05/2026,04:14,Pele Selvagem,Capítulo 19,19,fe044554-0317-485a-8a39-036018381a9e
28/05/2026,05:07,Amor e Ódio,Capítulo 19,19,6345111761112
28/05/2026,05:58,Maite Perroni no Programa Raul Gil ,Maite Perroni no Programa Raul Gil,Maite Perroni no Programa Raul Gil,25000115_rebeldia_1_20_01
28/05/2026,06:17,Gata Selvagem ,Capítulo 208,208,6367087713112
28/05/2026,07:11,Gata Selvagem ,Capítulo 209,209,6367087790112
28/05/2026,08:08,Rebelde Temporada 1,Capítulo 19,19,6352179558112
28/05/2026,08:58,Entrevista com Pedro Damián,Entrevista com Pedro Damián,Entrevista com Pedro Damián,25000115_rebeldia_1_24_01
28/05/2026,09:20,Coração Traído,Capítulo 19,19,96171add-7869-49c5-9e08-0d08393f2c7d
28/05/2026,10:11,Pele Selvagem,Capítulo 19,19,fe044554-0317-485a-8a39-036018381a9e
28/05/2026,11:04,Amor e Ódio,Capítulo 19,19,6345111761112
28/05/2026,11:55,Gata Selvagem ,Capítulo 208,208,6367087713112
28/05/2026,12:49,Gata Selvagem ,Capítulo 209,209,6367087790112
28/05/2026,13:46,Rebelde Temporada 1,Capítulo 19,19,6352179558112
28/05/2026,14:36,Entrevista com Pedro Damián,Entrevista com Pedro Damián,Entrevista com Pedro Damián,25000115_rebeldia_1_24_01
28/05/2026,14:58,Coração Traído,Capítulo 19,19,96171add-7869-49c5-9e08-0d08393f2c7d
28/05/2026,15:50,Pele Selvagem,Capítulo 19,19,fe044554-0317-485a-8a39-036018381a9e
28/05/2026,16:43,Amor e Ódio,Capítulo 19,19,6345111761112
28/05/2026,17:34,Gugu no México,Gugu no México,Gugu no México,25000115_rebeldia_1_14_01
28/05/2026,18:08,Gata Selvagem ,Capítulo 208,208,6367087713112
28/05/2026,19:02,Gata Selvagem ,Capítulo 209,209,6367087790112
28/05/2026,19:59,Rebelde Temporada 1,Capítulo 19,19,6352179558112
28/05/2026,20:48,Entrevista com Pedro Damián,Entrevista com Pedro Damián,Entrevista com Pedro Damián,25000115_rebeldia_1_24_01
28/05/2026,21:11,Coração Traído,Capítulo 19,19,96171add-7869-49c5-9e08-0d08393f2c7d
28/05/2026,22:02,Pele Selvagem,Capítulo 19,19,fe044554-0317-485a-8a39-036018381a9e
28/05/2026,22:55,Amor e Ódio,Capítulo 19,19,6345111761112
28/05/2026,23:46,Gugu no México,Gugu no México,Gugu no México,25000115_rebeldia_1_14_01
29/05/2026,00:20,Gata Selvagem ,Capítulo 210,210,6367086729112
29/05/2026,01:14,Gata Selvagem ,Capítulo 211,211,6367086628112
29/05/2026,02:08,Gugu no México,Gugu no México,Gugu no México,25000115_rebeldia_1_14_01
29/05/2026,02:42,Rebelde Temporada 1,Capítulo 20,20,6352181117112
29/05/2026,03:32,Coração Traído,Capítulo 20,20,88591bd1-38a3-43d7-9f96-f0c5e5669341
29/05/2026,04:27,Pele Selvagem,Capítulo 20,20,789d0410-0144-4116-b511-4cb2fe78d257
29/05/2026,05:18,Amor e Ódio,Capítulo 20,20,6345111362112
29/05/2026,06:11,Valentina entrevista Christian Chávez,Valentina entrevista Christian Chávez,Valentina entrevista Christian Chávez,25000115_rebeldia_1_08_01
29/05/2026,06:19,Gata Selvagem ,Capítulo 210,210,6367086729112
29/05/2026,07:13,Gata Selvagem ,Capítulo 211,211,6367086628112
29/05/2026,08:06,Rebelde Temporada 1,Capítulo 20,20,6352181117112
29/05/2026,08:57,Gugu no México,Gugu no México,Gugu no México,25000115_rebeldia_1_14_01
29/05/2026,09:31,Coração Traído,Capítulo 20,20,88591bd1-38a3-43d7-9f96-f0c5e5669341
29/05/2026,10:25,Pele Selvagem,Capítulo 20,20,789d0410-0144-4116-b511-4cb2fe78d257
29/05/2026,11:16,Amor e Ódio,Capítulo 20,20,6345111362112
29/05/2026,12:10,Gata Selvagem ,Capítulo 210,210,6367086729112
29/05/2026,13:03,Gata Selvagem ,Capítulo 211,211,6367086628112
