Data,Programa,Episódio,Media
15/04/2026,A Mulher Perfeita ,Capítulo 116,6375690562112
16/04/2026,A Mulher Perfeita ,Capítulo 117,6375690563112
17/04/2026,A Mulher Perfeita ,Capítulo 118,6375689572112
19/04/2026,A Mulher Perfeita ,Capítulo 115,6375688804112
19/04/2026,A Mulher Perfeita ,Capítulo 114,6375689279112
20/04/2026,A Mulher Perfeita ,Capítulo 119,6375690358112
21/04/2026,A Mulher Perfeita ,Capítulo 120,6375688195112
22/04/2026,A Mulher Perfeita ,Capítulo 121,6375689311112
23/04/2026,A Mulher Perfeita ,Capítulo 122,6375690875112
24/04/2026,A Mulher Perfeita ,Capítulo 123,6375688405112
27/04/2026,A Mulher Perfeita ,Capítulo 124,6375689117112
28/04/2026,A Mulher Perfeita ,Capítulo 125,6375690587112
29/04/2026,A Mulher Perfeita ,Capítulo 126,6375691163112
30/04/2026,A Mulher Perfeita ,Capítulo 127,6375690201112
01/05/2026,A Mulher Perfeita ,Capítulo 128,6375688612112
04/05/2026,A Mulher Perfeita ,Capítulo 129,6375689995112
05/05/2026,A Mulher Perfeita ,Capítulo 130,6375691358112
06/05/2026,A Mulher Perfeita ,Capítulo 131,6375690480112
07/05/2026,A Mulher Perfeita ,Capítulo 132,6375688826112
08/05/2026,A Mulher Perfeita ,Capítulo 133,6375688824112
11/05/2026,A Mulher Perfeita ,Capítulo 134,6375689897112
11/05/2026,A Mulher Perfeita ,Capítulo 135,6375690094112
12/05/2026,A Mulher Perfeita ,Capítulo 136,6375691164112
13/05/2026,A Mulher Perfeita ,Capítulo 137,6375689898112
14/05/2026,A Mulher Perfeita ,Capítulo 138,6375690968112
18/05/2026,A Mulher Perfeita ,Capítulo 139,6375688215112
