Data,Programa,Episódio,Media
15/04/2026,A Usurpadora - Fábrica de Sonhos,Episódio 18,3029e8b2-aacc-46a1-86fc-3eeac88f2666
16/04/2026,A Usurpadora - Fábrica de Sonhos,Episódio 19,9421865e-5ffd-4a4a-97bc-b591c3293a8b
17/04/2026,A Usurpadora - Fábrica de Sonhos,Episódio 20,0c621f17-2e23-4c74-9220-5780497ff19e
18/04/2026,A Usurpadora - Fábrica de Sonhos,Episódio 17,9d161532-fce8-49ef-b752-da7f7de3aa7d
18/04/2026,A Usurpadora - Fábrica de Sonhos,Episódio 16,e9309d4f-2e28-46a4-a3cb-c85215846c90
20/04/2026,A Usurpadora - Fábrica de Sonhos,Episódio 21,b68af8a8-d945-414c-ba07-1860c9ff62f8
21/04/2026,A Usurpadora - Fábrica de Sonhos,Episódio 22,65a644e7-d1d0-402d-996b-3dbd296a8995
22/04/2026,A Usurpadora - Fábrica de Sonhos,Episódio 23,cc379d45-833c-4ecf-8912-949078081927
23/04/2026,A Usurpadora - Fábrica de Sonhos,Episódio 24,3dd41595-465a-4e03-bec1-ec3e6dca8886
24/04/2026,A Usurpadora - Fábrica de Sonhos,Episódio 25,87cda802-07fa-4351-be25-01602b9f9743
