Data,Programa,Episódio,Media
15/04/2026,As Pupilas do Senhor Reitor,Capítulo 176,928d759b-7e23-4aec-b944-b0bb101b28f7
16/04/2026,As Pupilas do Senhor Reitor,Capítulo 177,48ef8be8-f946-4c16-992b-9783e49c4abe
17/04/2026,As Pupilas do Senhor Reitor,Capítulo 178,89024a1b-4598-427d-b811-3aafeb183411
19/04/2026,As Pupilas do Senhor Reitor,Capítulo 174,a99d8dad-a169-40dd-9023-6cf07ec5e4ba
19/04/2026,As Pupilas do Senhor Reitor,Capítulo 175,e504d7de-b5a8-4771-b687-77ac636bb445
20/04/2026,As Pupilas do Senhor Reitor,Capítulo 179,615d30ed-00b1-4d70-9d97-5ca0fe6addad
21/04/2026,As Pupilas do Senhor Reitor,Capítulo 180,cdbbff1b-1350-46eb-8033-522889f94808
22/04/2026,As Pupilas do Senhor Reitor,Capítulo 181,97394571-34dc-4851-95c0-4172cd80ed0c
23/04/2026,As Pupilas do Senhor Reitor,Capítulo 182,f2980ef4-a4d4-4872-8dce-99a73b46d9c4
24/04/2026,As Pupilas do Senhor Reitor,Capítulo 183,55349102-1f47-4b18-b42f-1a5c18fe710b
30/04/2026,As Pupilas do Senhor Reitor,Capítulo 184,9322c398-30a5-4c81-be31-9f30f63ed1b5
01/05/2026,As Pupilas do Senhor Reitor,Capítulo 185,60b004ce-c65f-4df0-b531-b81adec2a117
