Data,Programa,Episódio,Media
04/05/2026,Pele Selvagem,Capítulo 1,650ca47e-e19e-40cd-9e36-76df529f9011
05/05/2026,Pele Selvagem,Capítulo 2,e17dbb31-f74c-4a07-8654-913e3bd1cd86
06/05/2026,Pele Selvagem,Capítulo 3,8ddebb75-f440-45f4-9b35-0ebfe55729d8
07/05/2026,Pele Selvagem,Capítulo 4,80451b05-efac-4027-ad9f-b6762bb7ade8
08/05/2026,Pele Selvagem,Capítulo 5,3b7fe86c-f7ea-4d33-9d8e-d9e04a6ddf99
11/05/2026,Pele Selvagem,Capítulo 6,05938f00-2ad1-4a2d-a5da-9f93795845d2
12/05/2026,Pele Selvagem,Capítulo 7,4f7a6a37-37f0-400a-96a0-34ad0798ef4a
13/05/2026,Pele Selvagem,Capítulo 8,ba182a74-9260-4a64-a5b4-3056e588382c
14/05/2026,Pele Selvagem,Capítulo 9,2a19052b-ed50-479b-afb7-9b1d7d1158b8
15/05/2026,Pele Selvagem,Capítulo 10,609198af-29cf-4877-89a9-9368127ce66d
18/05/2026,Pele Selvagem,Capítulo 11,6e8e2093-04a0-4684-9f96-d4ffbc8029c6
19/05/2026,Pele Selvagem,Capítulo 12,0def4996-087e-4cfd-88f4-a8dc17e7b29a
20/05/2026,Pele Selvagem,Capítulo 13,9187119f-1d16-446f-96de-c58fd3a4e18f
21/05/2026,Pele Selvagem,Capítulo 14,9318bf20-5f4c-4c41-bedf-2fcf205f5d74
22/05/2026,Pele Selvagem,Capítulo 15,a117db2d-8f5c-4642-9b06-7b45e273d7b6
25/05/2026,Pele Selvagem,Capítulo 16,8d367f0d-ad62-4980-876c-9aee80b3d575
26/05/2026,Pele Selvagem,Capítulo 17,6f715872-5474-4ac9-bb2b-9dcd76e24612
27/05/2026,Pele Selvagem,Capítulo 18,89426c11-f099-4607-b2cc-84137620f6cb
28/05/2026,Pele Selvagem,Capítulo 19,fe044554-0317-485a-8a39-036018381a9e
29/05/2026,Pele Selvagem,Capítulo 20,789d0410-0144-4116-b511-4cb2fe78d257
01/06/2026,Pele Selvagem,Capítulo 21,95094328-7361-4c8d-acc9-df9497d3fcd7
02/06/2026,Pele Selvagem,Capítulo 22,1d637d0f-b8d4-488e-b52f-feab12b7aae5
03/06/2026,Pele Selvagem,Capítulo 23,c118b9b9-808d-4852-9296-980c2e630d36
