Data,Programa,Episódio,Media
15/04/2026,Presente de Amor,Capítulo 75,6f551c05-0dcc-42f7-a360-49a089821c71
15/04/2026,Presente de Amor,Capítulo 76,52aa8608-c749-4860-94df-6c96ad98b36a
16/04/2026,Presente de Amor,Capítulo 78,7731a404-066e-4871-b84a-57102a23c661
16/04/2026,Presente de Amor,Capítulo 77,c1630ff3-7e2b-40b2-854e-e301a389c5cf
17/04/2026,Presente de Amor,Capítulo 80,68bdc1f2-6ce0-4d19-bf8e-e6acfb4b9f7c
17/04/2026,Presente de Amor,Capítulo 79,5a3a849c-6bd4-4e18-a64d-a2918765a029
18/04/2026,Presente de Amor,Capítulo 74,5534fc75-0f89-418f-acef-f929f2018214
18/04/2026,Presente de Amor,Capítulo 73,1dda3e1a-ab34-485e-bbfe-9fa8f827dc62
18/04/2026,Presente de Amor,Capítulo 71,dd85c7a7-1f5d-4bea-a9a9-7636a93a79b6
18/04/2026,Presente de Amor,Capítulo 72,5c1d76fb-9f83-4178-a039-b7ba1e3e847f
20/04/2026,Presente de Amor,Capítulo 82,f8c5dfde-56a2-4325-be21-f49ccd60c9db
20/04/2026,Presente de Amor,Capítulo 81,5885f37e-2cf7-4cb2-98fb-aca076adb286
21/04/2026,Presente de Amor,Capítulo 84,c8a12e94-a878-49e0-bc96-36f486ec8f43
21/04/2026,Presente de Amor,Capítulo 83,197e10b5-0ac0-4fa4-a213-98df403e3a24
22/04/2026,Presente de Amor,Capítulo 86,2ba95c00-2aa2-4516-98b4-7f44905e745b
22/04/2026,Presente de Amor,Capítulo 85,53d1962b-5da2-402a-b091-221470d88467
23/04/2026,Presente de Amor,Capítulo 88,a8f94b6e-c539-4d32-bc42-85769d5642ec
23/04/2026,Presente de Amor,Capítulo 87,b37a33f3-b037-478f-b004-a991931350e8
24/04/2026,Presente de Amor,Capítulo 89,628c3965-9093-4f20-a140-677f65a7803a
24/04/2026,Presente de Amor,Capítulo 90,8ff35dd5-c452-4f6e-a289-f1ca0d2024e8
27/04/2026,Presente de Amor,Capítulo 92,1eb5e592-2b99-43c7-8858-325de9961e40
27/04/2026,Presente de Amor,Capítulo 91,5d4a1603-a644-45b2-b6ee-f262f995cc15
28/04/2026,Presente de Amor,Capítulo 94,1f4a415d-db42-4360-b795-3067392cfee7
28/04/2026,Presente de Amor,Capítulo 93,3d9f65d1-4dff-4b86-abaf-6dbf2fa90f0d
29/04/2026,Presente de Amor,Capítulo 95,19da9881-5166-437b-a0f7-42cab5026023
29/04/2026,Presente de Amor,Capítulo 96,0fc132c4-d8d9-4e0f-9a3e-5201ad05b145
30/04/2026,Presente de Amor,Capítulo 97,f9e4f428-730b-41a8-acb4-9add6a991a6e
30/04/2026,Presente de Amor,Capítulo 98,b1dd30c4-7bc8-42e5-90ff-5dcd6f535a44
01/05/2026,Presente de Amor,Capítulo 99,45a66ae0-9a52-430a-9610-933b194cee93
01/05/2026,Presente de Amor,Capítulo 100,c71b173c-6339-4d37-a1ec-6b570de2eba6
