Data,Programa,Episódio,Media
02/05/2026,RebelDia,Semana Rebelde no Fofocalizando - Anahí,25000115_rebeldia_1_05_01
03/05/2026,RebelDia,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
03/05/2026,RebelDia,Rebelde passeia de barco pelo Guarujá,25000115_rebeldia_1_13_01
03/05/2026,RebelDia,Semana Rebelde no Fofocalizando - Maite Perroni,25000115_rebeldia_1_04_01
03/05/2026,RebelDia,"Semana Rebelde no Fofocalizando - Alfonso, Christian e Christopher",25000115_rebeldia_1_07_01
03/05/2026,RebelDia,Eliana entrevista Anahí,25000115_rebeldia_1_18_01
03/05/2026,RebelDia,Gabi Cabrini entrevista Christian Chávez,25000115_rebeldia_1_09_01
03/05/2026,RebelDia,RBD no Domingo Legal,25000115_rebeldia_1_15_01
03/05/2026,RebelDia,Eliana entrevista Dulce María,25000115_rebeldia_1_17_01
03/05/2026,RebelDia,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
03/05/2026,RebelDia,Christopher Uckermann no Programa Raul Gil,25000115_rebeldia_1_19_01
03/05/2026,RebelDia,Juliano Ceglia entrevista RBD,25000115_rebeldia_1_02_01
03/05/2026,RebelDia,Show do Rebelde em São Paulo,25000115_rebeldia_1_28_01
03/05/2026,RebelDia,Gugu no México,25000115_rebeldia_1_14_01
03/05/2026,RebelDia,Fenômeno Rebelde no Domingo Legal,25000115_rebeldia_1_16_01
03/05/2026,RebelDia,Curiosidades da infância,25000115_rebeldia_1_03_01
03/05/2026,RebelDia,Curiosidades dos integrantes do RBD,25000115_rebeldia_1_26_01
03/05/2026,RebelDia,Entrevista com Pedro Damián,25000115_rebeldia_1_24_01
03/05/2026,RebelDia,Rodolfo acompanha RBD no México,25000115_rebeldia_1_12_01
03/05/2026,RebelDia,Maite Perroni no Programa Raul Gil,25000115_rebeldia_1_20_01
04/05/2026,RebelDia,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",25000115_rebeldia_1_42_01
06/05/2026,RebelDia,Valentina entrevista Christian Chávez,25000115_rebeldia_1_08_01
18/05/2026,RebelDia,Adriane Galisteu entrevista RBD,d53dfc36-6687-40ff-800e-52b0b7636e4f
19/05/2026,RebelDia,Eliana entrevista Anahí,3a4f8e37-39d4-44e7-8919-891d7d790bbe
19/05/2026,RebelDia,Christian Chávez vai ao Raul Gil,01ddc3e3-5d85-46a7-8412-f97e063e1e80
19/05/2026,RebelDia,Christopher Uckermann no Raul Gil,80d46c87-f1e0-4440-aa46-1b6eeac4615f
19/05/2026,RebelDia,Eliana entrevista Dulce María,56f4978f-da96-4c91-af1b-4a0a7ccb14da
