Data,Programa,Episódio,Media
02/05/2026,Sempre Chiquititas,Hebe recebe as Chiquititas,ef378d9b-1429-4500-9fc3-9111e2c30e2b
02/05/2026,Sempre Chiquititas,SBT Repórter acompanha Chiquititas na Argentina,90b1318b-e8e5-4047-b6b3-690efb0cf163
02/05/2026,Sempre Chiquititas,Chiquititas no Domingo Legal,dbd4c9ac-8346-4945-a1ba-acdcc3785b3e
02/05/2026,Sempre Chiquititas,Chiquititas no Em Nome do Amor,30d678b7-4c71-4b5a-a3c3-268fbab37b22
02/05/2026,Sempre Chiquititas,Dança e bate papo no Programa Livre,51811dac-2f5a-4336-be79-a32726edd717
02/05/2026,Sempre Chiquititas,Novo elenco no Domingo Legal,481f33d7-2bbe-4288-86b5-06930ec7fddc
02/05/2026,Sempre Chiquititas,Chiquititas no Eliana & Cia,b5b92435-bfe7-4653-b804-4551bc97689a
02/05/2026,Sempre Chiquititas,Meninas de Chiquititas no Programa Livre,c5b45706-0b76-4850-838f-141e690ba3e6
02/05/2026,Sempre Chiquititas,ET & Rodolfo vão à Argentina,c87429e0-7049-463c-a6c1-22eaf429d555
02/05/2026,Sempre Chiquititas,Gugu Liberato na Argentina,e98a0ea0-5cb9-4294-951c-d487f807647d
02/05/2026,Sempre Chiquititas,Chiquititas no Domingo Legal,81986dd7-0462-487b-9165-1a91642a342f
02/05/2026,Sempre Chiquititas,"Música, dança e diversão no Domingo Legal",29e64479-1834-4e10-9469-2ab7a29d00f6
